Allele,Supertype,Supertype_2
A0101,A01,A01
A0102,U,AU
A0103,A01,A01
A0104,A01,A01
A0106,A01,A01
A0107,A01,A01
A0108,A01,A01
A0109,A01,A01
A0110,A01,A01
A0111,A01,A01
A0112,A01,A01
A0113,U,AU
A0114,A01,A01
A0115,A01,A01
A0201,A02,A02
A0202,A02,A02
A0203,A02,A02
A0204,A02,A02
A0205,A02,A02
A0206,A02,A02
A0207,A02,A02
A0208,U,AU
A0209,A02,A02
A0210,U,AU
A0211,A02,A02
A0212,A02,A02
A0213,A02,A02
A0214,A02,A02
A0215,A02,A02
A0216,A02,A02
A0217,A02,A02
A0218,A02,A02
A0219,A02,A02
A0220,A02,A02
A0221,A02,A02
A0222,A02,A02
A0224,A02,A02
A0225,A02,A02
A0226,A02,A02
A0227,A02,A02
A0228,A02,A02
A0229,U,AU
A0230,A02,A02
A0231,A02,A02
A0233,U,AU
A0234,U,AU
A0235,U,AU
A0236,A02,A02
A0237,A02,A02
A0238,A02,A02
A0239,A02,A02
A0240,A02,A02
A0241,A02,A02
A0242,A02,A02
A0243,A02,A02
A0244,A02,A02
A0245,A02,A02
A0246,A02,A02
A0247,A02,A02
A0248,A02,A02
A0249,A02,A02
A0250,A02,A02
A0251,A02,A02
A0252,A01 A03,A01 A03
A0254,A02,A02
A0255,U,AU
A0256,A02,A02
A0257,A02,A02
A0258,A02,A02
A0259,A02,A02
A0260,A02,A02
A0261,A02,A02
A0262,A02,A02
A0263,A02,A02
A0264,U,AU
A0265,A03,A03
A0266,A02,A02
A0267,A02,A02
A0268,A02,A02
A0269,A02,A02
A0270,A02,A02
A0271,A02,A02
A0272,A02,A02
A0273,A02,A02
A0274,A02,A02
A0275,A02,A02
A0276,U,AU
A0277,A02,A02
A0278,A02,A02
A0279,A02,A02
A0280,A03,A03
A0281,U,AU
A0282,A02,A02
A0283,A02,A02
A0284,A02,A02
A0285,A02,A02
A0286,A02,A02
A0301,A03,A03
A0302,A03,A03
A0304,A03,A03
A0305,A03,A03
A0306,A03,A03
A0307,A03,A03
A0308,A03,A03
A0309,A03,A03
A0310,A03,A03
A0312,A03,A03
A0313,A03,A03
A0314,A03,A03
A0315,U,AU
A0316,A03,A03
A0317,A03,A03
A1101,A03,A03
A1102,A03,A03
A1103,A03,A03
A1104,A03,A03
A1105,A03,A03
A1106,A03,A03
A1107,A03,A03
A1108,A03,A03
A1109,A03,A03
A1110,A03,A03
A1111,U,AU
A1112,A03,A03
A1113,A03,A03
A1114,A03,A03
A1115,A03,A03
A1116,A03,A03
A1117,U,AU
A1118,U,AU
A1119,U,AU
A1120,A03,A03
A1121,A03,A03
A1122,A03,A03
A1123,A03,A03
A2301,A24,A24
A2302,A24,A24
A2303,A24,A24
A2304,A24,A24
A2305,A24,A24
A2306,A24,A24
A2307,A24,A24
A2308,A24,A24
A2309,U,AU
A2310,A24,A24
A2312,A24,A24
A2402,A24,A24
A2403,A24,A24
A2404,U,AU
A2405,A24,A24
A2406,A24,A24
A2407,U,AU
A2408,A24,A24
A2409,A24,A24
A2410,A24,A24
A2411,A24,A24
A2413,A24,A24
A2414,U,AU
A2415,U,AU
A2417,A24,A24
A2418,A24,A24
A2419,U,AU
A2420,A24,A24
A2421,A24,A24
A2422,A24,A24
A2423,A24,A24
A2424,U,AU
A2425,A24,A24
A2426,A24,A24
A2427,A24,A24
A2428,A24,A24
A2429,A24,A24
A2430,A24,A24
A2431,U,AU
A2432,U,AU
A2433,A24,A24
A2434,A24,A24
A2435,A24,A24
A2437,A24,A24
A2438,A24,A24
A2439,A24,A24
A2440,A24,A24
A2441,A24,A24
A2442,A24,A24
A2443,A24,A24
A2444,A24,A24
A2446,A24,A24
A2447,A24,A24
A2448,A24,A24
A2449,A24,A24
